frame,start_x,start_y,enemy,color
155,30,0,0,0
155,30,10,1,1
155,150,10,2,1
155,60,0,1,1
155,30,10,1,2
160,60,0,2,1
160,60,10,0,0
160,120,0,2,0
160,30,0,0,1
160,60,0,0,0
165,60,0,0,0
165,120,0,0,2
165,30,0,0,0
165,180,0,1,1
165,180,10,2,1
170,90,10,2,2
170,90,10,0,0
170,120,0,1,2
170,150,0,2,2
170,150,0,1,0
175,180,10,2,1
175,120,0,2,0
175,150,10,0,1
175,180,0,1,0
175,30,0,0,1
180,90,0,0,2
180,120,10,0,2
180,90,10,2,2
180,150,10,2,1
180,150,10,0,2
185,180,0,1,2
185,150,10,2,1
185,30,0,1,0
185,60,0,1,2
185,60,10,1,0
190,180,10,2,1
190,150,10,1,1
190,180,10,2,0
190,180,10,2,1
190,90,0,1,2
195,150,10,0,2
195,60,0,2,2
195,180,0,1,1
195,180,0,1,2
195,60,0,0,1
200,120,10,2,0
200,150,0,1,1
200,30,10,0,1
200,30,0,2,1
200,120,10,1,1
205,120,10,2,2
205,120,10,1,1
205,30,0,1,1
205,180,0,1,2
205,150,10,2,1
210,180,0,2,0
210,120,10,1,1
210,30,10,1,2
210,180,0,1,1
210,30,0,2,0
215,30,0,1,1
215,60,10,2,0
215,90,0,2,0
215,90,0,2,0
215,90,0,2,1
220,150,0,1,2
220,180,0,1,1
220,180,10,0,0
220,120,10,1,0
220,30,0,2,2
225,180,0,1,0
225,30,10,2,2
225,180,10,2,1
225,120,0,0,2
225,150,0,0,1
230,180,0,1,0
230,30,10,0,0
230,30,0,1,1
230,180,10,2,1
230,120,10,2,0
235,30,0,2,0
235,30,0,1,0
235,90,10,2,0
235,120,10,2,1
235,120,10,0,0
240,120,10,2,1
240,30,10,2,2
240,120,0,0,0
240,30,10,2,1
240,30,10,1,0
245,30,10,2,2
245,120,0,0,0
245,150,0,2,0
245,120,10,0,2
245,150,0,1,2
250,180,0,0,2
250,60,10,1,1
250,180,0,2,0
250,90,0,1,0
250,180,0,0,1
255,30,0,2,2
255,180,10,1,0
255,180,0,2,0
255,30,0,0,0
255,30,0,1,2
260,180,0,1,0
260,150,10,0,1
260,180,10,0,1
260,120,10,1,0
260,30,10,2,1
265,30,0,1,0
265,180,0,0,1
265,90,0,0,2
265,60,0,2,2
265,60,10,2,0
270,60,0,0,0
270,180,0,1,0
270,180,10,0,1
270,150,0,0,1
270,90,10,0,0
275,60,0,1,1
275,150,0,1,2
275,90,0,1,0
275,180,10,1,1
275,60,0,1,0
280,90,10,2,1
280,180,0,1,2
280,30,0,2,0
280,90,0,1,1
280,60,10,1,0
285,90,10,0,0
285,90,0,1,1
285,30,10,2,1
285,90,0,0,2
285,120,10,1,1
290,150,10,1,0
290,60,0,0,2
290,120,10,1,1
290,90,0,1,1
290,60,0,1,0
295,150,0,0,2
295,150,10,2,1
295,60,0,2,1
295,30,10,0,1
295,180,10,1,0
300,30,0,1,2
300,60,0,1,2
300,30,10,2,1
300,150,10,1,0
300,180,0,0,1
305,120,10,2,1
305,90,10,0,2
305,120,0,0,1
305,120,0,0,1
305,60,10,1,0
310,30,10,1,1
310,120,10,1,0
310,120,10,2,0
310,30,10,0,0
310,90,0,1,1
315,120,10,0,1
315,60,10,1,0
315,30,0,1,0
315,90,0,0,2
315,30,10,2,1
320,90,10,0,2
320,60,10,1,2
320,120,10,2,0
320,60,10,0,1
320,60,0,0,2
325,120,10,2,1
325,150,10,1,1
325,120,0,0,2
325,150,0,2,2
325,90,0,2,0
330,60,0,2,1
330,120,10,0,0
330,60,10,0,2
330,30,10,0,1
330,150,0,2,0
335,120,0,0,2
335,30,10,1,2
335,150,0,1,1
335,90,0,2,1
335,120,0,1,0
340,150,10,2,0
340,150,0,1,1
340,120,10,1,0
340,60,0,1,1
340,180,0,1,1
345,120,0,0,2
345,30,10,1,0
345,90,10,2,0
345,60,0,2,2
345,90,10,0,0
350,90,0,0,1
350,180,10,0,0
350,30,10,1,1
350,90,10,1,1
350,90,0,1,2
355,150,10,0,1
355,60,10,0,0
355,60,0,1,2
355,90,10,1,2
355,90,0,0,1
360,180,10,1,1
360,60,10,1,1
360,90,0,1,2
360,30,0,2,0
360,150,10,1,2
365,60,10,2,2
365,150,10,0,2
365,30,10,2,2
365,60,0,2,0
365,180,0,0,0
370,30,0,2,1
370,150,0,0,1
370,180,10,0,0
370,90,0,1,1
370,120,10,2,1
375,30,0,0,2
375,60,0,1,1
375,60,0,1,1
375,180,0,1,2
375,30,0,2,2
380,60,0,1,1
380,60,10,0,1
380,90,0,0,1
380,150,10,1,2
380,30,10,2,2
385,90,10,2,0
385,90,0,0,1
385,150,10,2,2
385,60,0,1,0
385,120,10,0,0
390,180,0,0,0
390,30,10,2,2
390,30,0,1,2
390,30,0,2,0
390,180,0,1,1
395,90,0,1,1
395,90,10,1,2
395,180,10,2,1
395,60,10,0,2
395,120,10,0,0
400,60,0,1,0
400,90,10,2,1
400,120,10,1,2
400,90,10,0,0
400,180,10,0,1
405,60,10,0,2
405,120,10,0,1
405,30,10,0,1
405,180,10,0,2
405,120,10,2,2
410,120,10,0,1
410,30,0,0,2
410,30,10,2,0
410,120,10,2,1
410,180,10,2,0
415,30,0,1,0
415,30,0,0,0
415,120,10,2,2
415,180,10,2,1
415,90,10,2,2
420,30,0,1,1
420,150,10,2,1
420,30,10,0,1
420,180,0,2,2
420,150,0,0,1
425,90,0,2,1
425,180,0,1,2
425,150,0,1,1
425,180,10,0,2
425,150,10,0,1
430,90,10,2,2
430,30,0,2,1
430,60,10,2,2
430,180,10,1,1
430,60,10,2,0
435,120,0,1,0
435,60,0,1,1
435,120,0,1,2
435,60,0,0,2
435,150,0,1,0
440,120,0,2,2
440,150,10,0,1
440,30,0,1,2
440,30,0,1,0
440,90,0,2,2
445,30,10,2,1
445,180,0,2,1
445,60,0,2,2
445,30,10,0,2
445,90,0,1,1
450,30,10,1,1
450,120,0,1,2
450,30,10,2,2
450,90,10,1,0
450,180,10,2,0
455,60,10,2,2
455,60,0,1,1
455,120,10,2,2
455,30,0,1,2
455,150,0,1,1
460,150,0,2,1
460,60,10,2,0
460,150,10,0,2
460,90,10,1,0
460,90,10,1,2
465,180,10,1,2
465,120,0,2,0
465,60,0,0,1
465,60,10,1,2
465,180,10,1,0
470,150,0,0,2
470,120,0,2,0
470,120,10,2,1
470,30,0,1,1
470,120,0,1,0
475,30,0,1,0
475,120,10,2,0
475,60,10,0,1
475,150,10,2,0
475,180,0,0,0
480,150,10,0,2
480,60,10,0,1
480,90,10,0,2
480,150,10,2,2
480,150,0,2,1
485,90,10,1,2
485,150,10,2,1
485,120,0,2,0
485,180,0,0,0
485,180,10,1,2
490,30,10,1,0
490,120,0,0,2
490,120,0,1,0
490,30,0,0,1
490,30,10,1,1
495,90,0,0,0
495,60,10,0,2
495,180,10,1,2
495,180,0,0,0
495,30,10,1,0
500,90,0,2,0
500,180,10,0,1
500,90,0,1,0
500,60,0,0,2
500,120,10,2,2
